,Tweet,Date,Like,Retweet,Comment,Output
0,A mermaid https://t.co/djEypjcG27,2023-02-12 17:50:30+00:00,1630,233,134,Music
1,Love this video,2023-02-11 22:51:15+00:00,40073,2642,368,Music
2,Yea cause you came to the club giving out your business card ….I LOVE THAT !!!!! I love me a hustler and somebody that believes in their business.NETWORKING IS IMPORTANT!!!!,2023-02-11 20:58:38+00:00,34716,2266,292,Music
3,Motivating these hoes https://t.co/iLhmllIu3f,2023-02-11 20:01:54+00:00,107141,6968,1629,Music
4,Giving yall bitches the best sex advice for valentines ……She 94 years old and it’s a actual sex doctor ! https://t.co/16QD9SJNh1,2023-02-10 22:22:07+00:00,9315,861,321,Music
5,#NewProfilePic https://t.co/nWVanpMTTM,2023-02-09 23:51:27+00:00,311668,21446,2467,Music
6,THANK YOU …..Baby I was flipping them thousand dollar shoes wit them fashion nova outfits !!,2023-02-09 23:00:29+00:00,21604,1188,262,Music
7,Baby you already bring it ..you too sickening,2023-02-09 22:38:21+00:00,10053,811,192,Music
8,I really want to style other celebs.,2023-02-09 01:03:47+00:00,50119,1988,1724,Music
9,BIG LIES,2023-02-08 23:42:50+00:00,25934,2284,1155,Music
10,RIP PACO RABANNE https://t.co/KnSYmkDM7c,2023-02-08 21:03:32+00:00,136185,8689,780,Music
11,REAL RIGHT https://t.co/SYgnkbuFQE,2023-02-06 18:58:48+00:00,139397,7922,1087,Music
12,True blue https://t.co/wBrEPa8hPU,2023-02-06 04:57:45+00:00,309532,23698,2492,Music
13,2000’s feel cavalli https://t.co/XQo9zaqkSx,2023-02-05 19:36:25+00:00,156652,12497,1035,Music
14,They ain’t ready for the shit I’m on https://t.co/xAI60GkAyb,2023-02-05 18:55:56+00:00,77978,7866,1228,Music
15,It’s the nerve,2023-01-25 04:04:32+00:00,29890,6449,931,Music
16,HENNESSY https://t.co/qIBpDQ6uua,2023-01-23 18:48:15+00:00,132353,7955,1623,Music
17,My biggest flaw is not bragging enough,2023-01-22 22:38:25+00:00,42732,9339,1208,Music
18,Year of the 🐰🐇,2023-01-21 20:46:53+00:00,44237,3980,1171,Music
19,Second day of community service……Obey the law https://t.co/aKz9li3Rl8,2023-01-20 14:27:40+00:00,387160,16839,5214,Music
20,Sad girl winter,2023-01-19 13:45:28+00:00,90434,17695,1361,Music
21,"Today I hate everyone ,try me tomorrow. https://t.co/RVLAeBQ8KV",2023-01-17 23:36:42+00:00,143145,13029,1799,Music
22,I don’t…I rub it 😉,2023-01-17 03:09:53+00:00,108979,6811,2245,Music
23,@expensiveprada Puuurrrrr,2023-01-15 21:56:38+00:00,371,31,13,Music
24,How ? https://t.co/G2JIQ17DxS,2023-01-15 04:03:28+00:00,220116,52506,2648,Music
25,Miss Dominican Republic ….GOD PLEASEE !!!!!🇩🇴🤞🏽,2023-01-15 03:30:32+00:00,58638,7956,802,Music
26,❤️,2023-01-12 10:31:43+00:00,39610,1819,1200,Music
27,RELAX,2023-01-09 21:35:38+00:00,74202,10588,2657,Music
28,@theonlynalaso_o Happy birthday pretty 🎈,2023-01-09 09:46:55+00:00,442,23,20,Music
29,@joshieyamaguchi Lmaaaaooooooooooooooooo yoooooo ..I still remember when it went from 10 to 4 for a dollar,2023-01-05 06:09:20+00:00,211,17,13,Music
30,Not necessarily cause of me but if we bring enough awareness to inflation you never know,2023-01-05 01:46:58+00:00,9059,634,1106,Music
31,Like a DOG,2023-01-05 01:45:40+00:00,3657,220,221,Music
32,PSA!!!! https://t.co/YpJmHmuT2D,2023-01-05 01:40:34+00:00,220285,30848,9874,Music
33,Bitch why lettuce cost 6 dollars where I live at ? 😑  https://t.co/2X0Np2KyCX,2023-01-04 00:08:19+00:00,70261,5545,3430,Music
34,Naaaaaa grocery shopping prices are ridiculous right now 😑You might as well eat outside !!,2023-01-04 00:04:18+00:00,262554,28598,7030,Music
35,Red for good luck ….They going to need it🌹🥀 https://t.co/n4jZ94bth8,2023-01-03 01:12:50+00:00,83753,4174,1620,Music
36,Happy new years ❤️💙 https://t.co/kR8yNAqd1m,2023-01-01 20:41:48+00:00,64508,3326,1519,Music
37,@missszcoco Lmmmaaaaaoooooooo,2023-01-01 01:12:43+00:00,146,10,17,Music
38,Procrastination its soooo 2022.,2022-12-31 23:48:20+00:00,99983,16177,1447,Music
39,Wow …..I wanna cry,2022-12-31 22:30:32+00:00,10961,574,589,Music
40,Girl your baby is just the cutest….we got some heart breakers ❤️❤️❤️,2022-12-31 06:18:52+00:00,10371,438,275,Music
41,IDC https://t.co/DWCDGKUv6N,2022-12-30 01:40:46+00:00,276186,9133,5502,Music
42,Well well well ……..,2022-12-29 21:53:47+00:00,486445,31155,9955,Music
43,Y’all talkin bout y’all won’t fight over dick but y’all be fighting over celebs online all the time ….somebody lying 🤔 https://t.co/IlrQzisbIY,2022-12-29 21:39:02+00:00,60091,4710,1845,Music
44,Lmaaooooo this a good point,2022-12-29 20:48:32+00:00,5505,414,201,Music
45,Don’t drag me !!! https://t.co/lkz8rpz0SA,2022-12-29 19:23:27+00:00,62108,5904,3080,Music
46,My first mixtape promo photos ….I had a dream 💭 https://t.co/0WGjCgWKDW,2022-12-28 20:05:28+00:00,58971,3515,1390,Music
47,These kids got me TIIIDEEEEE,2022-12-28 04:17:15+00:00,25174,1471,840,Music
48,@forevasznn Shut up you will be back,2022-12-28 02:55:42+00:00,795,64,96,Music
