,Tweet,Date,Like,Retweet,Comment,Output
0,"राजस्थान से बीते कुछ समय में जिस तरह की खबरें लगातार आ रही हैं, उनका संदेश एक ही है। https://t.co/475YRii9eF",2023-02-12 16:32:40+00:00,3481,1033,197,Politics
1,राजस्थान को केंद्र सरकार की एक और प्राथमिकता का लाभ मिला है… https://t.co/cLHFX9JWil,2023-02-12 16:32:25+00:00,1987,719,80,Politics
2,"पिछले 9 वर्षों में हमने उन क्षेत्रों और वर्गों पर भी विशेष ध्यान दिया है, जो विकास से वंचित थे। हमने वंचितों को वरीयता दी है। यही सबका साथ, सबका विकास की राजनीति है। https://t.co/U85ZgUzEHY",2023-02-12 16:32:11+00:00,1966,725,110,Politics
3,"दशकों तक राजस्थान को कुछ लोगों ने बीमारू राज्य कहकर चिढ़ाया है, लेकिन भाजपा राजस्थान को विकसित भारत का सबसे मजबूत आधार बना रही है। https://t.co/TpWbtP8JJO",2023-02-12 16:31:55+00:00,2346,775,74,Politics
4,यज्ञ की पवित्र आहुति के साथ महर्षि दयानंद सरस्वती जी की 200वीं जन्म-जयंती के शुभारंभ का सौभाग्य मिला। https://t.co/T5GONLWJ56,2023-02-12 12:02:03+00:00,23287,4378,709,Politics
5,बच्चों में राष्ट्रप्रेम की यह भावना भारत के उज्ज्वल भविष्य के निर्माण का आधार बनेगी… https://t.co/DUHrWltR9c,2023-02-12 12:01:42+00:00,10315,2285,257,Politics
6,"Addressing a huge public meeting in Dausa, Rajasthan. Do watch! https://t.co/aZjU1mFfim",2023-02-12 10:47:11+00:00,6024,2021,301,Politics
7,"Delighted to be in Dausa, Rajasthan where key connectivity projects are being launched. These will greatly benefit citizens by reducing travel time. https://t.co/6noM2NH0oX",2023-02-12 09:57:04+00:00,6065,1992,288,Politics
8,"आज दुनिया जब Sustainable Development की बात कर रही है, तो उनका दिखाया मार्ग विश्व को दिशा दिखाने का काम कर रहा है। https://t.co/oLnckcJJ8Y",2023-02-12 08:18:49+00:00,8961,2216,365,Politics
9,वेदों के शिष्य और ज्ञान मार्ग के संत दयानंद जी के विचार आज भी उतने ही प्रासंगिक हैं। https://t.co/uNSEm2ztpA,2023-02-12 08:18:41+00:00,5188,1704,186,Politics
10,"महर्षि दयानंद सरस्वती जी ने अपने जीवन को किसी एक मार्ग तक सीमित नहीं रखा, बल्कि अनेक अलग-अलग संस्थाओं और संस्थागत व्यवस्थाओं का भी सृजन किया। ये संस्थाएं दशकों से सकारात्मक काम कर रही हैं। https://t.co/KxscGKnClq",2023-02-12 08:18:25+00:00,5246,1705,151,Politics
11,भारतीय संतों और ऋषियों की भूमिका केवल पूजा और उपासना तक सीमित नहीं रही है। उन्होंने राष्ट्र और समाज के हर आयाम को सशक्त बनाने में अहम योगदान दिया है। https://t.co/wQ80ZBabDo,2023-02-12 08:18:11+00:00,4987,1603,133,Politics
12,"भारत की यात्रा में महर्षि दयानंद सरस्वती जी की जीवंत उपस्थिति आज भी दिखाई देती है। आजादी के अमृतकाल में उनकी 200वीं जन्म-जयंती देश के लिए एक पुण्य प्रेरणा लेकर आई है।

https://t.co/3n6hV3ftGG",2023-02-12 08:17:50+00:00,3150,1162,93,Politics
13,Very interesting!,2023-02-12 07:21:45+00:00,23639,3656,975,Politics
14,Well said. The way ahead is by popularising Yoga and traditional forms of Indian medicine in a language that the world understands. I am happy to see greater awareness among our people on this too.,2023-02-12 07:20:30+00:00,3854,1098,103,Politics
15,"The Northeast has seen unparalleled transformation in the last 8 years, leading to extensive benefits for the people there. Pick any sector, the gains are innumerable.",2023-02-12 07:19:23+00:00,3162,1011,74,Politics
16,We bow to Maharishi Dayanand Saraswati Ji on his 200th Jayanti. He was a beacon of knowledge and spirituality. https://t.co/hcgxL0Ahz4,2023-02-12 06:28:47+00:00,7368,2429,366,Politics
17,இந்தியா இலங்கை இடையிலான நெருக்கமான கலாசார ஒத்துழைப்பினை அடையாளப்படுத்தும் ஒரு முக்கிய செயற்திட்டமே யாழ்ப்பாணம் கலாசார நிலையம். இந்நிலையத்தின் மூலமாக பெருவாரியான மக்கள் நன்மையடையவுள்ளனர். ஜனாதிபதி ரணில் விக்கிரமசிங்க அவர்களின் அதிஉயர் பிரசன்னம் இந்நிகழ்வை மேலும் சிறப்பித்தது.,2023-02-11 16:43:16+00:00,3870,1304,208,Politics
18,යාපනය සංස්කෘතික මධ්‍යස්ථානය ඉන්දියාව සහ ශ්‍රී ලංකාව අතර සමීප සංස්කෘතික සහයෝගීතාවය සංකේතවත් කරන වැදගත් ව්‍යාපෘතියකි. එය විශාල ජනතාවකට සුබසිද්ධිය සලසනු ඇත. ජනාධිපති රනිල් වික්‍රමසිංහ මැතිතුමාගේ සම්භාවනීය සහභාගිත්වය මෙම වැඩසටහන වඩාත් සුවිශේෂී කළේය.,2023-02-11 16:42:53+00:00,2775,966,94,Politics
19,A very special moment from Tripura earlier today…I received the blessings of a beneficiary of PM-Awas Yojana. Such blessings from our Nari Shakti are a source of great strength. https://t.co/jeSryp94aT,2023-02-11 16:03:43+00:00,11075,2695,389,Politics
20,"I will never forget my special visit to Jaffna in 2015, where I had the opportunity to lay the foundation stone for the Jaffna Cultural Centre. Here are some glimpses from that visit. https://t.co/wS3I438Uaj",2023-02-11 16:00:41+00:00,3283,1037,82,Politics
21,The Jaffna Cultural Center is an important initiative signifying the close cultural cooperation between India and Sri Lanka. It will benefit several people. The august presence of President Ranil Wickremesinghe made the programme even more special. @RW_UNP,2023-02-11 15:59:04+00:00,4604,1451,96,Politics
22,"The renovated Shree Saptakoteshwar Devasthan, Narve, Bicholim will deepen the connect of our youth with our spiritual traditions. It will also further boost tourism in Goa.",2023-02-11 15:54:15+00:00,5940,1579,158,Politics
23,इस बड़ी उपलब्धि के लिए @IndiaPostOffice को बहुत-बहुत बधाई! यह प्रयास देश की बेटियों के भविष्य को सुरक्षित करने के साथ उन्हें और सशक्त बनाएगा।,2023-02-11 15:53:44+00:00,5118,1726,172,Politics
24,BJP all the way in Tripura! https://t.co/9KTwueNg9n,2023-02-11 11:30:02+00:00,20533,3842,647,Politics
25,भाजपा सरकार इस त्रिशक्ति से त्रिपुरा के लोगों का जीवन आसान बना रही है… https://t.co/6EDb4IqpMc,2023-02-11 11:28:40+00:00,4983,1545,156,Politics
26,"Thanks to the Double Engine Governments at the Centre and State, Tripura’s tribal communities have benefitted greatly. https://t.co/KU8pzzBUjy",2023-02-11 11:28:05+00:00,5227,1745,185,Politics
27,"5 साल पहले मैंने त्रिपुरावासियों से जिस HIRA यानि हाइवे, इंटरनेट, रेलवे और एयरवे का वादा किया था, भाजपा की डबल इंजन सरकार ने उसके लिए दिन-रात काम किया है। https://t.co/yqQy5d5phO",2023-02-11 11:26:54+00:00,6274,1974,210,Politics
28,"भाजपा के शासन में त्रिपुरा में कानून का राज स्थापित हुआ है। पहले राज्य में किसी ना किसी बहाने लोगों को जो चंदा देना पड़ता था, अब भाजपा सरकार ने उन्हें उससे मुक्ति दिला दी है। https://t.co/FolkiP4z43",2023-02-11 11:26:34+00:00,8642,2271,434,Politics
29,"कांग्रेस और वामपंथियों के शासन में जो त्रिपुरा दशकों तक पिछड़ा रहा, उसे डबल इंजन की सरकार सिर्फ 5 वर्षों में ही तेज विकास की पटरी पर ले आई है। https://t.co/BfHMWCookN",2023-02-11 11:26:19+00:00,6570,2009,242,Politics
30,BJP's priority is all-round development of Tripura. Speaking at a huge rally in Radhakishorepur. @BJP4Tripura https://t.co/HLp3r3n2H6,2023-02-11 09:53:28+00:00,8790,2380,353,Politics
31,Addressing a massive rally in Ambassa. BJP has ushered in an era of pro-people governance in Tripura. @BJP4Tripura https://t.co/k60aEgfwEQ,2023-02-11 07:46:09+00:00,10221,2759,426,Politics
32,Sharing my remarks at the Indian Association of Physiotherapist National Conference in Ahmedabad. https://t.co/R0KTIp2sRY,2023-02-11 04:17:07+00:00,9750,2783,540,Politics
33,"I pay homage to Pandit Deendayal Upadhyaya Ji on his Punya Tithi. We will never forget his efforts for national progress and serving the poor. Inspired by his vision, we are working round the clock to ensure the fruits of development reach the marginalised and the downtrodden.",2023-02-11 04:10:12+00:00,12211,2386,362,Politics
34,"Sharing highlights from a memorable Mumbai visit, where I attended programmes relating to infrastructure and education. https://t.co/gxHL0JWm6w",2023-02-11 04:07:30+00:00,21544,4033,528,Politics
35,Pune surely knows how to welcome in style!,2023-02-11 03:23:15+00:00,17731,2988,418,Politics
