,Tweet,Date,Like,Retweet,Comment,Output
0,"Fans from every corner of the globe uniting in Morocco 🇲🇦

Thank you to everyone who was a part of the #ClubWC 🙌

#FootballUnitesTheWorld https://t.co/scZLKYB7oz",2023-02-12 10:46:15+00:00,682,43,19,Sports
1,"Football brings us joy, passion, peace and love ❤️

Over the past 11 days, fans from every corner of the globe have united in Morocco for the #ClubWC 🌍

#FootballUnitesTheWorld https://t.co/hHTYAlHyKa",2023-02-11 13:00:02+00:00,162,25,19,Sports
2,"“Our aim is to create a more welcoming, inclusive environment for football fans who come to FIFA matches globally.""

Since 2015, FIFA, together with @farenet, has been operating an anti-discrimination monitoring system at FIFA events around the world.

Find out how it works:",2023-02-11 11:20:18+00:00,113,21,14,Sports
3,"The finalists are in for each category for #TheBest FIFA Football Awards! 🏆

The winners will be announced at #TheBest ceremony on 27 February.

Who would you like to see named #TheBest?",2023-02-10 19:57:25+00:00,406,55,73,Sports
4,@NormanMaroto 👏,2023-02-10 12:33:47+00:00,1,0,0,Sports
5,"The countdown is on to the FIFA U-20 World Cup! 🏆

With 100 days to go until the tournament kicks off in Indonesia, a special event was held today to mark the milestone:",2023-02-09 14:53:05+00:00,180,36,15,Sports
6,"It was a record-breaking transfer window across men’s and women’s football.

Check out the latest International Transfer Snapshot, which analyses player transfer activity during the recent registration period:",2023-02-09 12:04:55+00:00,167,41,9,Sports
7,"How does FIFA help club executives around the world develop their industry knowledge? 🌍

The FIFA Diploma in Club Management equips them with the latest insights from football industry experts ✅

Find out more about the latest module, which took place in Tangier this week:",2023-02-09 09:01:52+00:00,173,28,10,Sports
8,@FootballAUS @OurGameAUS @GettySport @abcsport @aleaguewomen @FIFAWWC Congratulations to everyone selected! Wishing you all the best for the program 🙌,2023-02-09 07:38:09+00:00,5,0,1,Sports
9,"No player should suffer discriminatory abuse when playing football. 

Ahead of the FIFA #ClubWC, players from all participating teams came together to say #NoDiscrimination. 

https://t.co/81AxY97XIr",2023-02-08 18:00:03+00:00,159,23,13,Sports
10,"Qualification for @FIFAWWC ✅
Winners of the African Schools Champions Cup 🏆

At both senior and youth level, women's football in Morocco is on the rise 🇲🇦🙌",2023-02-08 16:39:22+00:00,236,24,8,Sports
11,@M10 ❤️,2023-02-08 13:45:16+00:00,775,15,9,Sports
12,"@CAF_Online @ghanafaofficial @ChristianAtsu20 Wishing you a speedy recovery, @ChristianAtsu20! 🙏",2023-02-08 09:33:22+00:00,147,27,4,Sports
13,@Merihdemiral @Cristiano @ahbap 👏,2023-02-08 09:33:18+00:00,250,4,0,Sports
14,"@HNS_CFF All of our thoughts are with Miroslav's family, friends and everyone at @HNS_CFF. May he rest in peace.",2023-02-08 09:30:45+00:00,46,2,0,Sports
15,"@YMSkulubu Sending our deepest condolences to Ahmet’s family, friends and everyone at @YMSkulubu. Rest in peace, Ahmet.",2023-02-07 18:52:36+00:00,345,17,0,Sports
16,"#FootballUnitesTheWorld at the #ClubWC! 🌍

@Flamengo fans from all over the world unite in Tangier 🇲🇦 for the semi-finals 😍 https://t.co/pTFxZwtL3L",2023-02-07 18:14:40+00:00,340,37,68,Sports
17,"@FAWales @Cymru A fantastic international career. Congratulations, Joe! 👏",2023-02-07 17:15:21+00:00,28,1,1,Sports
18,"Bringing people together in passion, in love, in peace, in hope and in joy. ❤️⚽️

Players from the #ClubWC teams came together before the tournament started to celebrate how #FootballUnitesTheWorld.

https://t.co/1eecp6RAbo",2023-02-07 17:00:00+00:00,203,26,10,Sports
19,@RBLeipzig_EN Huge respect! 👏,2023-02-07 14:23:34+00:00,14,0,2,Sports
20,"@DFB_Frauen Congratulations on a great international career, Leonie! 👏",2023-02-07 11:29:16+00:00,10,1,0,Sports
21,"FIFA 🤝 growing the beautiful game in Macau 🇲🇴

FIFA Forward funding is supporting the construction of a new member association headquarters in downtown Macau 🙌

Find out more:",2023-02-07 08:00:00+00:00,159,13,6,Sports
22,@SC_ESPN ❤️,2023-02-06 21:49:04+00:00,78,6,5,Sports
23,"""Our thoughts and prayers are with the victims and with those who have been injured in this tragedy. 

""We would like to express our solidarity and support to the people of both countries during this terrible time.""",2023-02-06 20:41:25+00:00,420,57,7,Sports
